Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	9	138	221	9	162	260	12	162	324	12	162	324	11	161	1245	11	161	1661	3	5	6	3	5	6	30	78	117	30	78	117
2	18	153	243	18	180	285	18	189	381	18	189	381	14	170	1278	14	170	1704	5	6	9	5	6	9	40	104	156	40	104	156
3	27	168	266	27	198	312	27	216	438	27	216	438	18	180	1313	18	180	1751	5	6	9	5	6	9	50	131	197	50	131	197
4	36	183	288	36	216	339	39	243	495	39	243	495	23	188	1346	23	188	1794	6	8	11	6	8	11	60	156	234	60	156	234
5	45	200	311	45	234	365	53	270	552	53	270	552	26	198	1380	26	198	1841	6	8	11	6	8	11	70	182	273	70	182	273
6	54	215	333	54	252	392	68	297	609	68	297	609	30	209	1413	30	209	1884	8	11	14	8	11	14	80	207	311	80	207	311
7	63	230	354	63	270	417	84	324	666	84	324	666	35	218	1448	35	218	1931	8	11	14	8	11	14	90	234	351	90	234	351
8	72	245	378	72	288	444	101	351	723	101	351	723	41	228	1481	41	228	1974	9	12	17	9	12	17	100	260	390	100	260	390
9	81	260	401	81	306	471	117	378	780	117	378	780	47	236	1515	47	236	2021	11	14	20	11	14	20	110	285	428	110	285	428
10	90	276	422	90	324	497	134	405	837	134	405	837	53	246	1548	53	246	2064	11	14	20	11	14	20	120	312	468	120	312	468
11	99	291	446	99	342	524	150	432	894	150	432	894	54	257	1583	54	257	2111	12	17	23	12	17	23	130	338	507	130	338	507
12	108	306	467	108	360	549	167	459	951	167	459	951	60	266	1616	60	266	2154	12	17	23	12	17	23	140	363	545	140	363	545
13	117	321	489	117	378	576	183	486	1008	183	486	1008	66	276	1650	66	276	2201	14	18	26	14	18	26	154	401	602	154	401	602
14	126	336	513	126	396	603	200	513	1065	200	513	1065	72	284	1683	72	284	2244	15	20	29	15	20	29	169	440	660	169	440	660
15	135	353	534	135	414	629	216	540	1122	216	540	1122	78	294	1718	78	294	2291	15	20	29	15	20	29	186	482	723	186	482	723
16	144	368	557	144	432	656	233	567	1179	233	567	1179	84	305	1751	84	305	2334	17	23	30	17	23	30	205	533	800	205	533	800
17	153	383	579	153	450	681	249	594	1236	249	594	1236	90	314	1785	90	314	2381	17	23	30	17	23	30	225	584	876	225	584	876
18	162	398	602	162	468	708	266	621	1293	266	621	1293	96	324	1818	96	324	2424	18	24	33	18	24	33	248	644	966	248	644	966
19	171	413	626	171	486	735	282	648	1350	282	648	1350	102	332	1853	102	332	2471	20	26	36	20	26	36	273	708	1062	273	708	1062
20	180	429	647	180	504	761	299	675	1407	299	675	1407	110	342	1886	110	342	2514	20	26	36	20	26	36	300	779	1169	300	779	1169
21	189	444	669	189	522	788	315	702	1464	315	702	1464	117	354	1920	117	354	2561	21	29	39	21	29	39	330	857	1286	330	857	1286
22	198	459	692	198	540	813	332	729	1521	332	729	1521	126	365	1953	126	365	2604	21	29	39	21	29	39	363	942	1413	363	942	1413
23	207	474	714	207	558	840	348	756	1578	348	756	1578	134	372	1988	134	372	2651	23	30	42	23	30	42	399	1035	1553	399	1035	1553
24	216	489	737	216	576	867	365	783	1635	365	783	1635	141	383	2021	141	383	2694	24	32	45	24	32	45	439	1139	1709	439	1139	1709
25	225	506	759	225	594	893	381	810	1692	381	810	1692	150	392	2055	150	392	2741	24	32	45	24	32	45	470	1220	1830	470	1220	1830
26	234	521	782	234	612	920	398	837	1749	398	837	1749	159	402	2088	159	402	2784	26	35	47	26	35	47	503	1305	1958	503	1305	1958
27	243	536	804	243	630	945	414	864	1806	414	864	1806	170	413	2123	170	413	2831	26	35	47	26	35	47	538	1397	2096	538	1397	2096
28	252	551	827	252	648	972	431	891	1863	431	891	1863	180	420	2156	180	420	2874	27	36	50	27	36	50	576	1494	2241	576	1494	2241
29	261	566	849	261	666	999	447	918	1920	447	918	1920	189	431	2190	189	431	2921	29	38	53	29	38	53	616	1598	2397	616	1598	2397
30	270	582	872	270	684	1025	464	945	1977	464	945	1977	201	480	2223	201	480	2964	29	38	53	29	38	53	659	1709	2564	659	1709	2564
31	279	597	894	279	702	1052	480	972	2034	480	972	2034	213	533	2258	213	533	3011	30	41	56	30	41	56	706	1832	2748	706	1832	2748
32	288	612	915	288	720	1077	497	999	2091	497	999	2091	225	582	2291	225	582	3054	30	41	56	30	41	56	755	1958	2937	755	1958	2937
33	297	627	939	297	738	1104	513	1026	2148	513	1026	2148	237	635	2325	237	635	3101	32	42	59	32	42	59	808	2097	3146	808	2097	3146
34	306	642	962	306	756	1131	530	1053	2205	530	1053	2205	249	684	2358	249	684	3144	33	44	62	33	44	62	864	2241	3362	864	2241	3362
35	315	659	983	315	774	1157	546	1080	2262	546	1080	2262	261	737	2393	261	737	3191	33	44	62	33	44	62	925	2399	3599	925	2399	3599
36	324	674	1007	324	792	1184	563	1107	2319	563	1107	2319	273	788	2426	273	788	3234	35	47	65	35	47	65	990	2568	3852	990	2568	3852
37	333	689	1028	333	810	1209	579	1134	2376	579	1134	2376	285	839	2460	285	839	3281	35	47	65	35	47	65	1059	2745	4118	1059	2745	4118
38	342	704	1050	342	828	1236	596	1161	2433	596	1161	2433	297	890	2493	297	890	3324	36	48	66	36	48	66	1133	2939	4409	1133	2939	4409
39	351	719	1074	351	846	1263	612	1188	2490	612	1188	2490	309	941	2528	309	941	3371	38	50	69	38	50	69	1212	3144	4716	1212	3144	4716
40	360	735	1095	360	864	1289	629	1215	2547	629	1215	2547	323	992	2561	323	992	3414	38	50	69	38	50	69	1297	3365	5048	1297	3365	5048
41	369	750	1118	369	882	1316	645	1242	2604	645	1242	2604	338	1044	2595	338	1044	3461	39	53	72	39	53	72	1388	3600	5400	1388	3600	5400
42	378	765	1140	378	900	1341	662	1269	2661	662	1269	2661	351	1094	2628	351	1094	3504	39	53	72	39	53	72	1485	3852	5778	1485	3852	5778
43	387	780	1163	387	918	1368	678	1296	2718	678	1296	2718	365	1146	2663	365	1146	3551	41	54	75	41	54	75	1589	4121	6182	1589	4121	6182
44	396	795	1187	396	936	1395	695	1323	2775	695	1323	2775	380	1196	2696	380	1196	3594	42	56	78	42	56	78	1693	4409	6614	1693	4409	6614
45	405	812	1208	405	954	1421	711	1350	2832	711	1350	2832	393	1248	2730	393	1248	3641	42	56	78	42	56	78	1797	4718	7077	1797	4718	7077
46	414	827	1230	414	972	1448	728	1377	2889	728	1377	2889	407	1301	2763	407	1301	3684	44	59	81	44	59	81	1901	5051	7577	1901	5051	7577
47	423	842	1253	423	990	1473	744	1404	2946	744	1404	2946	422	1350	2798	422	1350	3731	44	59	81	44	59	81	2005	5402	8103	2005	5402	8103
48	432	857	1275	432	1008	1500	761	1431	3003	761	1431	3003	435	1403	2831	435	1403	3774	45	60	84	45	60	84	2109	5783	8675	2109	5783	8675
49	441	872	1298	441	1026	1527	777	1458	3060	777	1458	3060	449	1452	2865	449	1452	3821	47	62	86	47	62	86	2213	6186	9279	2213	6186	9279
50	450	888	1320	450	1044	1553	794	1485	3117	794	1485	3117	465	1505	2898	465	1505	3864	47	62	86	47	62	86	2317	6618	9927	2317	6618	9927
51	459	903	1343	459	1062	1580	810	1512	3174	810	1512	3174	482	1556	2933	482	1556	3911	48	65	89	48	65	89	2421	7080	10620	2421	7080	10620
52	468	918	1365	468	1080	1605	827	1539	3231	827	1539	3231	497	1607	2966	497	1607	3954	48	65	89	48	65	89	2525	7506	11259	2525	7506	11259
53	477	933	1388	477	1098	1632	843	1566	3288	843	1566	3288	513	1658	3000	513	1658	4001	50	66	92	50	66	92	2629	7956	11934	2629	7956	11934
54	486	948	1410	486	1116	1659	860	1593	3345	860	1593	3345	528	1709	3045	528	1709	4061	51	68	95	51	68	95	2733	8435	12653	2733	8435	12653
55	495	965	1433	495	1134	1685	876	1620	3402	876	1620	3402	545	1760	3113	545	1760	4151	51	68	95	51	68	95	2837	8942	13413	2837	8942	13413
56	504	980	1455	504	1152	1712	893	1647	3459	893	1647	3459	561	1812	3203	561	1812	4271	53	71	98	53	71	98	2941	9477	14216	2941	9477	14216
57	513	995	1476	513	1170	1737	909	1674	3516	909	1674	3516	576	1862	3333	576	1862	4443	53	71	98	53	71	98	3045	10044	15066	3045	10044	15066
58	522	1010	1500	522	1188	1764	926	1701	3573	926	1701	3573	593	1914	3462	593	1914	4616	54	72	101	54	72	101	3149	10647	15971	3149	10647	15971
59	531	1025	1523	531	1206	1791	942	1728	3630	942	1728	3630	609	1964	3591	609	1964	4788	56	74	102	56	74	102	3253	11286	16929	3253	11286	16929
60	540	1041	1544	540	1224	1817	959	1755	3687	959	1755	3687	627	2016	3720	627	2016	4961	56	74	102	56	74	102	3357	11964	17946	3357	11964	17946
61	549	1056	1568	549	1242	1844	975	1782	3744	975	1782	3744	645	2069	3851	645	2069	5133	57	77	105	57	77	105	3461	12680	19020	3461	12680	19020
62	558	1071	1589	558	1260	1869	992	1809	3801	992	1809	3801	663	2118	3980	663	2118	5306	57	77	105	57	77	105	3565	13442	20163	3565	13442	20163
63	567	1086	1611	567	1278	1896	1008	1836	3858	1008	1836	3858	681	2171	4109	681	2171	5478	59	78	108	59	78	108	3669	14249	21374	3669	14249	21374
64	576	1101	1635	576	1296	1923	1025	1863	3915	1025	1863	3915	699	2220	4238	699	2220	5651	59	78	108	59	78	108	3773	15104	22656	3773	15104	22656
65	585	1118	1656	585	1314	1949	1041	1890	3972	1041	1890	3972	716	2273	4368	716	2273	5823	60	80	111	60	80	111	3877	16010	24015	3877	16010	24015
66	594	1133	1679	594	1332	1976	1058	1917	4029	1058	1917	4029	734	2324	4497	734	2324	5996	62	83	114	62	83	114	3981	16916	25374	3981	16916	25374
67	603	1148	1701	603	1350	2001	1074	1944	4086	1074	1944	4086	752	2375	4626	752	2375	6168	62	83	114	62	83	114	4085	17822	26733	4085	17822	26733
68	612	1163	1724	612	1368	2028	1091	1971	4143	1091	1971	4143	770	2426	4755	770	2426	6341	63	84	117	63	84	117	4189	18728	28092	4189	18728	28092
69	621	1178	1748	621	1386	2055	1107	1998	4200	1107	1998	4200	788	2477	4886	788	2477	6513	65	86	120	65	86	120	4293	19634	29451	4293	19634	29451
70	630	1194	1769	630	1404	2081	1124	2025	4257	1124	2025	4257	809	2528	5015	809	2528	6686	65	86	120	65	86	120	4397	20540	30810	4397	20540	30810
71	639	1209	1791	639	1422	2108	1140	2052	4314	1140	2052	4314	828	2580	5144	828	2580	6858	66	89	122	66	89	122	4501	21446	32169	4501	21446	32169
72	648	1224	1814	648	1440	2133	1157	2079	4371	1157	2079	4371	848	2630	5273	848	2630	7031	66	89	122	66	89	122	4605	22352	33528	4605	22352	33528
73	657	1239	1836	657	1458	2160	1173	2106	4428	1173	2106	4428	869	2682	5403	869	2682	7203	68	90	125	68	90	125	4709	23258	34887	4709	23258	34887
74	666	1254	1859	666	1476	2187	1190	2133	4485	1190	2133	4485	888	2732	5532	888	2732	7376	69	92	128	69	92	128	4813	24164	36246	4813	24164	36246
75	675	1271	1881	675	1494	2213	1206	2160	4542	1206	2160	4542	908	2784	5661	908	2784	7548	69	92	128	69	92	128	4917	25070	37605	4917	25070	37605
76	684	1286	1904	684	1512	2240	1223	2187	4599	1223	2187	4599	927	2837	5790	927	2837	7721	71	95	131	71	95	131	5021	25976	38964	5021	25976	38964
77	693	1301	1926	693	1530	2265	1239	2214	4656	1239	2214	4656	948	2886	5921	948	2886	7893	71	95	131	71	95	131	5125	26882	40323	5125	26882	40323
78	702	1316	1949	702	1548	2292	1256	2241	4713	1256	2241	4713	968	2939	6050	968	2939	8066	72	96	134	72	96	134	5229	27788	41682	5229	27788	41682
79	711	1331	1971	711	1566	2319	1272	2268	4770	1272	2268	4770	987	2988	6179	987	2988	8238	74	98	137	74	98	137	5333	28694	43041	5333	28694	43041
80	720	1347	1994	720	1584	2345	1289	2295	4827	1289	2295	4827	1010	3041	6308	1010	3041	8411	74	98	137	74	98	137	5437	29600	44400	5437	29600	44400
81	729	1362	2016	729	1602	2372	1305	2322	4884	1305	2322	4884	1032	3092	6438	1032	3092	8583	75	101	140	75	101	140	5541	30506	45759	5541	30506	45759
82	738	1377	2037	738	1620	2397	1322	2349	4941	1322	2349	4941	1053	3143	6567	1053	3143	8756	75	101	140	75	101	140	5645	31412	47118	5645	31412	47118
83	747	1392	2061	747	1638	2424	1338	2376	4998	1338	2376	4998	1076	3194	6696	1076	3194	8928	77	102	141	77	102	141	5749	32318	48477	5749	32318	48477
84	756	1407	2084	756	1656	2451	1355	2403	5055	1355	2403	5055	1098	3245	6825	1098	3245	9101	77	102	141	77	102	141	5853	33224	49836	5853	33224	49836
85	765	1424	2105	765	1674	2477	1371	2430	5112	1371	2430	5112	1119	3296	6956	1119	3296	9273	78	104	144	78	104	144	5957	34130	51195	5957	34130	51195
86	774	1439	2129	774	1692	2504	1388	2457	5169	1388	2457	5169	1142	3348	7085	1142	3348	9446	80	105	147	80	105	147	6061	35036	52554	6061	35036	52554
87	783	1454	2150	783	1710	2529	1404	2484	5226	1404	2484	5226	1163	3398	7214	1163	3398	9618	80	105	147	80	105	147	6165	35942	53913	6165	35942	53913
88	792	1469	2172	792	1728	2556	1421	2511	5283	1421	2511	5283	1185	3450	7343	1185	3450	9791	81	108	150	81	108	150	6269	36848	55272	6269	36848	55272
89	801	1484	2196	801	1746	2583	1437	2538	5340	1437	2538	5340	1208	3500	7473	1208	3500	9963	83	110	153	83	110	153	6373	37754	56631	6373	37754	56631
90	810	1500	2217	810	1764	2609	1454	2565	5397	1454	2565	5397	1232	3552	7602	1232	3552	10136	83	110	153	83	110	153	6477	38660	57990	6477	38660	57990
91	819	1515	2240	819	1782	2636	1470	2592	5454	1470	2592	5454	1256	3605	7731	1256	3605	10308	84	111	156	84	111	156	6581	39566	59349	6581	39566	59349
92	828	1530	2262	828	1800	2661	1487	2619	5511	1487	2619	5511	1280	3654	7860	1280	3654	10481	84	111	156	84	111	156	6685	40472	60708	6685	40472	60708
93	837	1545	2285	837	1818	2688	1503	2646	5568	1503	2646	5568	1302	3707	7991	1302	3707	10653	86	114	158	86	114	158	6789	41378	62067	6789	41378	62067
94	846	1560	2309	846	1836	2715	1520	2673	5625	1520	2673	5625	1326	3756	8120	1326	3756	10826	87	116	161	87	116	161	6893	42284	63426	6893	42284	63426
95	855	1577	2330	855	1854	2741	1536	2700	5682	1536	2700	5682	1350	3809	8249	1350	3809	10998	87	116	161	87	116	161	6997	43190	64785	6997	43190	64785
96	864	1592	2352	864	1872	2768	1553	2727	5739	1553	2727	5739	1374	3860	8378	1374	3860	11171	89	117	164	89	117	164	7101	44096	66144	7101	44096	66144
97	873	1607	2375	873	1890	2793	1569	2754	5796	1569	2754	5796	1398	3911	8508	1398	3911	11343	89	117	164	89	117	164	7205	45002	67503	7205	45002	67503
98	882	1622	2397	882	1908	2820	1586	2781	5853	1586	2781	5853	1422	3962	8637	1422	3962	11516	90	120	167	90	120	167	7309	45908	68862	7309	45908	68862
99	891	1637	2420	891	1926	2847	1602	2808	5910	1602	2808	5910	1446	4013	8766	1446	4013	11688	90	120	167	90	120	167	7413	46814	70221	7413	46814	70221
100	900	1653	2442	900	1944	2873	1619	2835	5967	1619	2835	5967	1473	4064	8895	1473	4064	11861	92	122	170	92	122	170	7517	47720	71580	7517	47720	71580
101	909	1668	2465	909	1962	2900	1635	2862	6024	1635	2862	6024	1499	4116	9026	1499	4116	12033	93	123	173	93	123	173	7621	48626	72939	7621	48626	72939
102	918	1683	2487	918	1980	2925	1652	2889	6081	1652	2889	6081	1524	4166	9155	1524	4166	12206	93	123	173	93	123	173	7725	49532	74298	7725	49532	74298
103	927	1698	2510	927	1998	2952	1668	2916	6138	1668	2916	6138	1550	4218	9284	1550	4218	12378	95	126	176	95	126	176	7829	50438	75657	7829	50438	75657
104	936	1713	2532	936	2016	2979	1685	2943	6195	1685	2943	6195	1577	4268	9413	1577	4268	12551	95	126	176	95	126	176	7933	51344	77016	7933	51344	77016
105	945	1730	2555	945	2034	3005	1701	2970	6252	1701	2970	6252	1602	4320	9543	1602	4320	12723	96	128	177	96	128	177	8037	52250	78375	8037	52250	78375
106	954	1745	2577	954	2052	3032	1718	2997	6309	1718	2997	6309	1628	4373	9672	1628	4373	12896	98	129	180	98	129	180	8141	53156	79734	8141	53156	79734
107	963	1760	2598	963	2070	3057	1734	3024	6366	1734	3024	6366	1655	4422	9801	1655	4422	13068	98	129	180	98	129	180	8245	54062	81093	8245	54062	81093
108	972	1775	2622	972	2088	3084	1751	3051	6423	1751	3051	6423	1680	4475	9930	1680	4475	13241	99	132	183	99	132	183	8349	54968	82452	8349	54968	82452
109	981	1790	2645	981	2106	3111	1767	3078	6480	1767	3078	6480	1706	4524	10061	1706	4524	13413	101	134	186	101	134	186	8453	55874	83811	8453	55874	83811
110	3150	3150	3150	3150	3150	3150	9798	9798	9798	9798	9798	9798	15000	15000	15000	15000	15000	15000	195	195	195	195	195	195	160000	160000	160000	160000	160000	160000
