skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Attack	0		attack	1	1																																									superattack	knif		item_elemskill	(skill('parity?'.len)==0)?(rand(1,20)):(rand(21,40))																																										1	1																			0		both		weap			tpot							A1	A1	A1				1		1	1								1		1												1									1						1	1					0	8	0	0	1					1	0	1																																								1								8	128														stat																						0	0
Kick	1		kick	2	2																																																																																							0	0																			0		h2h	4											KK	KK	xx						1	1							1			1												1									1						0	0					0	8	0	0																																																1							1	8																																					0	0
Throw	2		throw	65	3																																																																																							2	2																			0		rng		thro										TH	TH	xx				1													1												1															1	1					0	8	0	0	1																																															1								8	128																																				0	0
Unsummon	3		unsummon	3	4																																																																								1	necromancer_unsummon														3	0																			0		rng												SC	SC	xx						1						1																	1									1						0	1					0	8	0	0	1	1																																														1								8																																					0	0
Left Hand Throw	4		left hand throw	65	5																																																																																							2	2																			0		rng	1	thro										S4	S4	xx			1	1													1												1															1	1					0	8	0	0	1																																															1								8																																					0	0
Left Hand Swing	5		left hand swing	1	1																																																																																							4	1																			0		both	1	weap			tpot							S3	S3	S3			1	1		1	1										1												1															0	0					0	8	0	0	1					1	0	1																																								1								8																																					0	0
Magic Arrow	6	ama	magic arrow												magicarrow																																																																																			magicarrow													1	0	1	rng		miss										A1	A1	xx				1													1												1	20														1	1					0	5	12	-1	1																																															1	10	9						8	128	1	1	1	1	1	1	1	1	1	1	1	1																							256	1000	0
Fire Arrow	7	ama	fire arrow	4											firearrow	1																																																																												11						firearrow													1	0		rng		miss										A1	A1	xx				1													1												1	20														1	1					1	5	24	0	1																																					12	Damage synergy									1	10	9						8	128														fire	1	2	3	6	12	24	4	2	3	7	14	27	(skill('Exploding Arrow'.blvl)) * par8								256	1000	0
Inner Sight	8	ama	inner sight		6																		34179		innersight	ln34	ln56	armorclass	-edmn																																																	amazon_eyeofzeus											cast_innersight																						1	3		none												SC	SC	xx					4															1						amazon_eyeofzeus	cast_innersight		1	20														0	1					1	7	10	0	1																							40	Armor Reduction baseline	25	Armor Reduction per level	200	Duration baseline	100	Duration per level	27	Radius baseline	0	Radius per level													1								8																40	25	45	60	80	100															256	1000	0
Critical Strike	9	ama	critical strike																																											criticalstrike			passive_critical_strike	dm12																																																													1	4		rng		spea	miss											xx				1																									1	20														0	0					0	8	0	0	1								1															5	Min % Chance	80	Max % Chance																					1								8																																				256	1000	0
Jab	10	ama	jab	5	7																																																																										amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																		1	3		h2h		spea										SQ	A1	xx	1		1	1		1	1								1		1												1	20														1	1					1	6	8	1												ln34	Damage %					0	% Damage Dealt as Elemental (Used only if there is an Etype)									-15	Damage % baseline	3	Damage % per level																	1	10	9						8	128																																			256	1000	0
Cold Arrow	11	ama	cold arrow	4											coldarrow	1																																																																												11						coldarrow													1	4		rng		miss										A1	A1	xx				1													1												6	20														1	1					1	5	28	1	1																																					12	Damage synergy									1	10	9						7	128														cold	6	4	5	8	16	42	8	4	5	9	17	44	(skill('Ice Arrow'.blvl)) * par8	100	30	30	30				384	3000	0
Multiple Shot	12	ama	multiple shot	4	8											1		multipleshotarrow	multipleshotbolt																																																																									11	17						multipleshotarrow	multipleshotbolt											1	7		rng		miss										A1	A1	xx				1													1												6	20					Magic Arrow									1	1					1	8	4	1	1											"min(ln12,24)"	# of Missiles created	par3	Missile Activation Frame	2	# of missiles that can trigger item modifier events			skill('Guided Arrow'.blvl) * par4	% Damage Synergy			2	# of Missiles created baseline	1	# of Missiles created per level	1	Missile Activation Frame	12	Damage % per level																	1								8	96																																			384	3000	0
Dodge	13	ama	dodge																																											dodge			passive_dodge	dm12																												amazon_dodge_1																																	1	0		h2h												S1	S1	xx																													6	20														0	0					0	8	0	0	1								1															10	Min % Chance	65	Max % Chance											2	Anim Mode (0 = enable uninterruptable Anim | 1 = disable Anim | 2 = enable interruptable anim)									1								8																																				384	3000	0
Power Strike	14	ama	power strike	6	2																																																																																																										1	4		h2h		spea										A1	A1	xx				1		1	1								1		1												6	20					Jab									1	1					1	6	8	1	1																	0	% Damage Dealt as Elemental (Used only if there is an Etype)																			14	Damage synergy									1	20	12						8	128														ltng	1	0	0	0	0	0	16	18	36	54	72	90	(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Charged Strike'.blvl)) * par8								384	3000	0
Poison Javelin	15	ama	poison javelin	4											poisonjav	1																																																														amazon_cast_poison		1												11						poisonjav													1	2		rng		jave										TH	TH	xx				1													1												6	20												15		1	1					1	6	16	1	1																																					12	Damage synergy									1								0	128														pois	32	16	32	48	64	96	48	16	36	52	68	100	(skill('Plague Javelin'.blvl)) * par8	200	50	50	50				384	3000	0
Exploding Arrow	16	ama	exploding arrow	4											explodingarrow	1																																																																												11						explodingarrow													1	5		rng		miss										A1	A1	xx				1													1												12	20					Fire Arrow	Multiple Shot								1	1					1	6	20	1	1																																					14	Damage synergy									1	20	9						8	128														fire	5	6	12	14	16	20	13	7	13	15	18	23	(skill('Fire Arrow'.blvl)) * par8								512	8000	0
Slow Missiles	17	ama	slow missiles		6																		50563		slowmissiles	ln34	ln56	skill_handofathena	100-dm12	skill_missile_damage_scale	100-dm78																																															amazon_handofathena											cast_slowmissiles																						1	8		none												SC	SC	xx					4															1						amazon_handofathena	cast_slowmissiles		12	20					Inner Sight									0	1					1	7	10	0	1																							25	% Velocity of missiles Min	75	% Velocity of missiles Max	300	Duration baseline	150	Duration per level	27	Radius baseline	0	Radius per level	0	Missile Damage Reduction Min	40	Missile Damage Reduction Max									1								8																																				512	8000	0
Avoid	18	ama	avoid																																											avoid			passive_avoid	dm12																												amazon_dodge_1																																	1	0		h2h												S1	S1	xx																													12	20					Dodge									0	0					0	8	0	0	1								1															15	Min % Chance	75	Max % Chance											2	Anim Mode (0 = enable uninterruptable Anim | 1 = disable Anim | 2 = enable interruptable anim)									1								8																																				512	8000	0
Impale	19	ama	impale	7	2																				impale	300		velocitypercent	-dm78	attackrate	-dm78	other_animrate	-dm78																																													amazon_impale_1		1	1											55																			1	6		h2h		spea										SQ	A1	xx	8		1	1		1	1								1		1												12	20					Jab									1	1		1			1	8	3	0												ln12	Damage %	par6-dm34	Durability loss chance %	par5	Durability loss amount	0	% Damage Dealt as Elemental (Used only if there is an Etype)					300	Damage % baseline	25	Damage % per level	0	% chance reduction for Durability loss Min	30	% chance reduction for Durability loss Max	1	Durability loss amount	50	% chance for Durability loss Base	0	Slow % Min	75	Slow % Max	30	Attack Speed %							1								8	128																																			512	8000	0
Lightning Bolt	20	ama	lightning bolt	4											lightningjavelin	1																																																																												11						lightningjavelin													1	6		rng		jave										TH	TH	xx																													12	20					Poison Javelin									1	1					1	6	24	1	1																																					3	Damage synergy									1								8	96														ltng	1	0	0	0	0	0	40	12	18	28	48	88	(skill('Lightning Strike'.blvl)+skill('Power Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8								512	8000	0
Ice Arrow	21	ama	ice arrow	4											icearrow	1																																																																												11						icearrow													1	6		rng		miss										A1	A1	xx				1													1												18	20					Cold Arrow									1	1					1	6	16	1	1																																			5	Freeze Length synergy	8	Damage synergy									1	20	9						8	128														cold	6	6	12	18	26	36	10	6	13	19	27	38	(skill('Cold Arrow'.blvl))*par8	50	5	5	5	(skill('Freezing Arrow'.blvl)) * par7			640	16000	0
Guided Arrow	22	ama	guided arrow	4	10											1		guidedarrow	guidedarrow	guidedarrow																																																																								11	18						guidedarrow	guidedarrow	guidedarrow										1	4		rng		miss										A1	A1	xx				1													1												18	20					Cold Arrow	Multiple Shot								1	1					1	6	32	-1	1											ln34 + (skill('Multiple Shot'.blvl)*par8)	Damage %															0	Damage % baseline	7	Damage % per level							12	Damage synergy									1								8	128																																			640	16000	0
Penetrate	23	ama	penetrate	23	34																																									penetrate			item_tohit_percent	ln12																																																													1	1		rng		spea	miss											xx																													18	20					Critical Strike									0	0					0	8	0	0	1								1															35	% Chance baseline	10	% Chance per level																					1								8																																				640	16000	0
Charged Strike	24	ama	charged strike	6	11													chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																									19						chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h		spea										A1	A1	xx				1		1	1								1		1												18	20					Power Strike	Lightning Bolt								1	1					1	6	16	1	1											par1+lvl/par2	# of Bolt Missiles created					0	% Damage Dealt as Elemental (Used only if there is an Etype)					3	# of Charged Bolt Missiles created baseline	5	Charged Bolt Missile created per N levels											14	Damage synergy									1								8															ltng	1	0	0	0	0	0	30	12	16	20	24	28	(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)) * par8								640	16000	0
